Entity,Code,Year,Deaths - Neoplasms - Sex: Both - Age: Under 5 (Rate),Deaths - Neoplasms - Sex: Both - Age: Age-standardized (Rate),Deaths - Neoplasms - Sex: Both - Age: All Ages (Rate),Deaths - Neoplasms - Sex: Both - Age: 70+ years (Rate),Deaths - Neoplasms - Sex: Both - Age: 5-14 years (Rate),Deaths - Neoplasms - Sex: Both - Age: 50-69 years (Rate),Deaths - Neoplasms - Sex: Both - Age: 15-49 years (Rate),Deaths - Prostate cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Breast cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Pancreatic cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Brain and nervous system cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Lip and oral cavity cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Colon and rectum cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Gallbladder and biliary tract cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Liver cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Larynx cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Ovarian cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Thyroid cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Uterine cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Bladder cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Cervical cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Kidney cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Stomach cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Nasopharynx cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Testicular cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Other pharynx cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Esophageal cancer - Sex: Both - Age: Age-standardized (Rate),Deaths - Non-melanoma skin cancer - Sex: Both - Age: Age-standardized (Rate),"Deaths - Tracheal, bronchus, and lung cancer - Sex: Both - Age: Age-standardized (Rate)"
Afghanistan,AFG,1990,15.82782724,142.0985398,100.5545789,926.4388673,6.165859586,371.9064829,42.81456421,5.83179994,7.624524257,2.242167104,5.079116619,1.380587831,10.15367727,2.387551306,6.725641052,4.013121594,1.043807864,0.78562923,0.726204779,3.585593896,4.977674301,1.025451094,36.92269864,0.928262783,0.094274319,0.487752574,9.73507979,0.415084341,13.58414247
Afghanistan,AFG,1991,14.46673743,142.2448089,97.84337166,927.1412748,5.993131221,373.8807968,40.83037745,5.887375908,7.663766594,2.228419475,5.053448811,1.388183327,10.21857293,2.388020331,6.625771794,4.028055169,1.047426344,0.783010738,0.723494489,3.591828622,5.008322274,1.009605203,37.16303347,0.925594392,0.09334739,0.485397915,9.726597904,0.417444559,13.48279662
Afghanistan,AFG,1992,11.64316866,142.764864,86.26953553,931.3687763,5.864208163,376.8207957,36.21838517,5.963579659,7.77393955,2.218351227,4.998421488,1.398741252,10.32804848,2.399424586,6.551799527,4.055099963,1.059622587,0.783501558,0.726426481,3.614055215,5.077025124,0.989540572,37.55474345,0.926290161,0.092070384,0.484941973,9.747679952,0.421013487,13.4051088
Afghanistan,AFG,1993,10.83694034,144.3155875,77.75517968,937.0671048,6.114935627,381.6544234,33.4458557,6.053232512,7.938781698,2.213309328,5.060103194,1.414589456,10.48686465,2.41398778,6.501491102,4.107452297,1.077134622,0.78918532,0.731934994,3.648118587,5.179446971,0.982188907,38.20598598,0.934535427,0.092950267,0.486438643,9.809566152,0.425960095,13.34636312
Afghanistan,AFG,1994,11.64054947,146.378153,76.30458707,943.8036879,6.291496361,387.9965326,33.31471977,6.130207536,8.089539578,2.209293909,5.19166841,1.43174695,10.6744694,2.426556428,6.448006286,4.181110577,1.090319287,0.796634689,0.736226633,3.678620004,5.281777086,0.983336698,39.08580936,0.945637021,0.09528371,0.48837927,9.893775072,0.430599192,13.30556841
Afghanistan,AFG,1995,12.14771017,147.302394,74.35962051,945.3924918,6.411152462,390.8352067,32.89457189,6.181237413,8.17325428,2.195515764,5.273936078,1.438113839,10.78988847,2.428933035,6.36542756,4.208392983,1.100061094,0.798046153,0.7360586,3.684424859,5.333789933,0.977679717,39.55050973,0.946262083,0.096952581,0.48707771,9.900111665,0.433384139,13.21042304
Afghanistan,AFG,1996,11.5991381,147.878792,72.02517157,946.7189606,6.22032156,392.3413359,32.70752147,6.222202796,8.23546613,2.181328088,5.282102814,1.440868752,10.89548309,2.424760832,6.414536826,4.228864781,1.107220067,0.796269201,0.732664242,3.688346714,5.360837617,0.964671861,39.90772137,0.943377267,0.098070906,0.484738096,9.889647181,0.435552843,13.11621445
Afghanistan,AFG,1997,11.3595837,148.7491322,70.36661432,949.5026121,6.179962263,394.8743417,32.94297569,6.262193276,8.308236143,2.173419728,5.313714301,1.444387482,11.01239046,2.424571568,6.477170332,4.254984813,1.11721954,0.796188692,0.730493786,3.697463308,5.395041759,0.955938138,40.3015804,0.942230445,0.100121918,0.483477553,9.902166414,0.437956688,13.05250703
Afghanistan,AFG,1998,11.14635752,149.4312859,69.07434722,952.4772985,6.112547534,397.9751464,33.30772588,6.293968614,8.362037682,2.167347015,5.326635487,1.443832168,11.10817335,2.4238187,6.535494923,4.275948535,1.126788195,0.795621266,0.727461957,3.70539404,5.412384219,0.948391078,40.62970961,0.939408605,0.102514855,0.481662372,9.915593342,0.439980324,12.9862894
Afghanistan,AFG,1999,11.19866101,150.9852382,69.85004594,960.8926513,6.09452226,403.7098279,34.82493878,6.336251055,8.46157046,2.176072098,5.382944546,1.437449121,11.27256241,2.430068825,6.60241626,4.32441331,1.145767008,0.801840404,0.727588742,3.705603224,5.472492057,0.947001172,41.33877175,0.933011417,0.109274423,0.480626268,9.891114112,0.446454018,13.01084999
